    1     1     1.9961     p 
    1     2     9.0305     P 
    1     3     6.4142     P 
    1     4     4.1308     P 
    1     5     6.7344     P 
    1     6     6.0806     P 
    1     7     9.1204     P 
    1     8     6.6468     P 
    1     9     9.4023     P 
    1    10     9.2399     P 
    1    11     4.3769     P 
    1    12     7.5821     P 
    1    13     8.9794     P 
    1    14     2.7599     P 
    1    15     2.1085     P 
    1    16     3.3430     P 
    1    17     2.7431     P 
    1    18     9.1301     P 
    1    19     4.1025     P 
    1    20     0.7192     p 
    1    21     7.0624     P 
    1    22     5.2762     P 
    1    23     7.7826     P 
    1    24     8.0995     P 
    1    25     6.6250     P 
    1    26     8.3452     P 
    1    27     9.2205     P 
    1    28    10.0402     P 
    1    29     5.2723     P 
    1    30     7.9992     P 
    1    31     6.0049     P 
    1    32    10.3346     P 
    1    33     5.0836     P 
    1    34     3.6561     P 
    1    35     8.8637     P 
    1    36     4.5186     P 
    1    37     5.9405     P 
    1    38     8.5941     P 
    1    39     7.9911     P 
    1    40     5.4427     P 
    1    41     7.6712     P 
    1    42    10.0734     P 
    1    43    11.1574     P 
    1    44     9.8851     P 
    1    45    10.9312     P 
    1    46     7.2849     P 
    1    47     9.4626     P 
    1    48    11.8839     P 
    1    49     7.4932     P 
    2     1     3.4706     p 
    2     2     6.9851     P 
    2     3     6.0136     P 
    2     4     2.2271     p 
    2     5     6.8737     P 
    2     6     4.3171     p 
    2     7     6.4335     P 
    2     8     5.5759     P 
    2     9     7.8164     P 
    2    10     6.8409     P 
    2    11     5.3408     P 
    2    12     7.1049     P 
    2    13     7.9047     P 
    2    14     2.4991     p 
    2    15     2.2559     p 
    2    16     4.9137     p 
    2    17     4.9122     p 
    2    18     8.7284     P 
    2    19     3.3353     p 
    2    20     3.3439     p 
    2    21     5.5302     P 
    2    22     4.4198     p 
    2    23     6.7097     P 
    2    24     5.9983     P 
    2    25     4.1185     p 
    2    26     6.6636     P 
    2    27     6.4472     P 
    2    28     7.7799     P 
    2    29     3.2969     p 
    2    30     7.8456     P 
    2    31     3.5616     p 
    2    32     7.8708     P 
    2    33     4.9496     P 
    2    34     4.1594     p 
    2    35     8.1904     P 
    2    36     2.3523     p 
    2    37     3.4195     p 
    2    38     6.0605     P 
    2    39     5.4310     P 
    2    40     6.0037     P 
    2    41     5.0221     P 
    2    42     8.2144     P 
    2    43     8.6869     P 
    2    44     7.3274     P 
    2    45     8.7834     P 
    2    46     4.9816     P 
    2    47     6.7746     P 
    2    48     9.5509     P 
    2    49     4.8826     p 
    3     1     4.4807     P 
    3     2     5.9130     P 
    3     3     5.1370     P 
    3     4     4.2914     P 
    3     5     6.4902     P 
    3     6     1.8525     P 
    3     7     7.7676     P 
    3     8     3.9510     P 
    3     9     6.5117     P 
    3    10     6.0066     P 
    3    11     5.8351     P 
    3    12     6.1225     P 
    3    13     6.6367     P 
    3    14     2.7465     P 
    3    15     4.4161     P 
    3    16     6.1510     P 
    3    17     6.7145     P 
    3    18     8.2890     P 
    3    19     1.6405     P 
    3    20     5.4524     P 
    3    21     3.6579     P 
    3    22     2.3325     P 
    3    23     5.3059     P 
    3    24     4.6623     P 
    3    25     3.3988     P 
    3    26     5.1507     P 
    3    27     7.3011     P 
    3    28     6.8362     P 
    3    29     0.9288     P 
    3    30     7.1921     P 
    3    31     4.1223     P 
    3    32     7.5759     P 
    3    33     4.3936     P 
    3    34     4.0611     P 
    3    35     7.2886     P 
    3    36     2.5045     P 
    3    37     5.2211     P 
    3    38     5.6136     P 
    3    39     5.5362     P 
    3    40     6.0426     P 
    3    41     5.7667     P 
    3    42     6.9584     P 
    3    43     8.1851     P 
